Swap Counterparty,Fund Perspective,(000 s),Value,CIK,Reporting Type,Report Year
Goldman Sachs International,Credit Default Buy Protection,"15,000000","(781,601",0000045156,N-CSRS,10
Goldman Sachs International,Credit Default Buy Protection,"15,000000","(781,601",0000045156,N-CSRS,10
