"
SWAPCOUNTERPARTY &REFERENCEOBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)","
UPFRONTPAYMENTS","
VALUE","
CREDITRATING OFREFERENCEOBLIGATION ",CIK,Reporting Type,Report Year
"
Barclays BankAlcoa, Inc.","
Buy",100000,1.0,"
9/20/18","
(352","
10,456","
10,104","
BBB-",0000924394,N-CSR,13
"
JPMorgan ChaseCDX.NA.IG.20","
Sell",45000,1.0,"
6/20/18","
(240","
528","
288","
NR",0000924394,N-CSR,13
"
JPMorgan ChaseCDX.NA.IG.20","
Sell",200000,1.0,"
6/20/18","
174","
1,104","
1,278","
NR",0000924394,N-CSR,13
"
JPMorgan ChaseKohl's Corporation","
Buy",125000,1.0,"
6/20/18","
(5,114","
7,104","
1,990","
BBB+",0000924394,N-CSR,13
