Underlying Instrument,Counterparty,Amount($),Rate(%),Date,Value($),CIK,Reporting Type,Report Year
"Citigroup, Inc. CDX Indices",Credit Suisse First Boston,"4,145",1.0,03/20/15,134,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",JPMorgan,"6,005",5.0,12/20/14,(633,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",Barclays Bank PLC,566,5.0,12/20/14,(60,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",Morgan Stanley,"3,095",5.0,12/20/14,(327,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",Barclays Bank PLC,"13,025",5.0,12/20/14,"(1,374",0000883939,N-Q,10
Kingdom of Spain CDX Indices,Morgan Stanley,"1,205",1.0,03/20/15,,0000883939,N-Q,10
Kingdom of Sweden CDX Indices,Barclays Bank PLC,605,0.25,09/20/14,,0000883939,N-Q,10
Kingdom of Sweden CDX Indices,Barclays Bank PLC,615,1.0,09/20/14,(13,0000883939,N-Q,10
Republic of Austria CDX Indices,Barclays Bank PLC,605,1.0,09/20/14,(5,0000883939,N-Q,10
Republic of Portugal CDX Indices,Deutsche Bank,"1,173",1.0,03/20/15,(5,0000883939,N-Q,10
