Underlying Instrument,Counterparty,Amount($),Rate(%),Date,Value($),CIK,Reporting Type,Report Year
"Citigroup, Inc. CDX Indicies",Credit Suisse First Bostion,2330,1.0,03/20/15,75,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",JPMorgan,4270,5.0,12/20/14,(450,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",Barclays Bank PLC,422,5.0,12/20/14,(45,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",Morgan Stanley,1270,5.0,12/20/14,(134,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",Barclays Bank PLC,9290,5.0,12/20/14,(980,0000883939,N-Q,10
Kingdom of Spain CDX Indicies,Morgan Stanley,895,1.0,03/20/15,,0000883939,N-Q,10
Kingdom of Sweden CDX Indices,Barclays Bank PLC,455,0.25,09/20/14,,0000883939,N-Q,10
Kingdom of Sweden CDX Indices,Barclays Bank PLC,459,1.0,09/20/14,(10,0000883939,N-Q,10
Republic of Austria CDX Indices,Barclays Bank PLC,455,1.0,09/20/14,(4,0000883939,N-Q,10
Republic of Portugal CDX Indices,Deutsche Bank,875,1.0,03/20/15,(3,0000883939,N-Q,10
