Counterparty,Reference Index,"Buy/SellProtection 
(1)","CurrentCreditSpread 
(3)",NotionalAmount (2),ReceivedFixed Rate,TerminationDate,Value,UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
JPMorgan,Markit CDX NA HY16 Index,Sell,4.55,"24,000,000",5.0,6/20/16,"388,669","370,948",0000820892,N-CSR,11
UBS,Markit CDX NA HY16 Index,Sell,4.55,"5,000,000",5.0,6/20/16,"80,973","82,362",0000820892,N-CSR,11
