"Reference
    Entity/Obligation","Buy/Sell
    Protection","(Pay)/
    Receive Fixed Rate (%)",Clearinghouse,"Termination
    Date","Notional
    Amount(2)","Fair
Value(3)","Unrealized
    Appreciation/ (Depreciation)",CIK,Reporting Type,Report Year
"CDX North American Emerging Markets Index, Series 27,
    Version 1",Buy,(1.000,Intercontinental Exchange,06/20/22,"3,220,000","170,364","(3,677",0001090682,N-Q,17
"CDX North American High Yield Index, Series
    28, Version 1",Buy,(5.000,Intercontinental Exchange,06/20/22,"1,750,000","(125,804",(367,0001090682,N-Q,17
