Counterparty,"
ReferenceEntity/Obligation","
Buy/SellProtection","
(Pay)/ReceiveFixedRate (%)","
TerminationDate","
Notional Amount(2)","
FairValue(3)","
UpfrontPaymentsPaid/(Received)","
UnrealizedAppreciation/(Depreciation)",CIK,Reporting Type,Report Year
"
Deutsche Bank AG","
Bolivarian Republicof Venezuela",Buy,(5.000,12/20/18,"211,000","47,547","33,044","14,503",0000002646,N-CSR,14
"
Deutsche Bank AG",Republic of Turkey,Buy,(1.000,06/20/18,"215,000","11,215","3,727","7,488",0000002646,N-CSR,14
