Notional Amount,Expiration Date,Counterparty,Receive,Annual Premium,DeliverableOn,Appreciation(Depreciation),CIK,Reporting Type,Report Year
,,,� (Pay),,� Default,,0000772129,N-Q,07
"
60,000,000
","
9/20/2010
","
Morgan Stanley Capital Services Inc.
","
Receive
",0.4,"
Credit Swap
  Eagle Creek CDO
","
747,692
",0000772129,N-Q,07
"
31,000,000
","
3/20/2013
","
Morgan Stanley Capital Services Inc.
","
Receive
",0.25,"
MS Synthetic
  2006-1
","
(41,833
",0000772129,N-Q,07
"
28,000,000
","
3/20/2015
","
Lehman Brothers
","
Receive
",0.88,"
Credit Swap
  AAA CDO
","
36,549
",0000772129,N-Q,07
