Swap Counterparty/,Notional,CreditSpread,Termination,Payments,Market,Upfront,Unrealized,CIK,Reporting Type,Report Year
CDX North AmericaHigh Yield Index,"2,940,000",680.94,06/20/2016,5.0,"(201,665","345,450","143,785",0001214511,N-CSR,12
CDX North America Investment Grade Index,"7,000,000",120.0,06/20/2016,1.0,"(61,627","153,833","92,206",0001214511,N-CSR,12
