"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive (Pay)","
AnnualPremium","
DeliverableOn Default","
Appreciation(Depreciation)",CIK,Reporting Type,Report Year
"
13,000,000  USD ","
9/20/2010","
Morgan Stanley Capital Services Inc.","
Receive",0.4,"
Credit Swap Eagle Creek CDO","
112,265",0000772129,N-CSRS,06
"
7,000,000  USD    ","
3/20/2013 ","
Morgan Stanley Capital Services Inc.","
Receive ",0.25,"
MS Synthetic 2006-1","
(49,763",0000772129,N-CSRS,06
"
5,000,000  USD    ","
3/20/2015 ","
Lehman Brothers ","
Receive ",0.88,"
Credit Swap AAA CDO","
(43,579",0000772129,N-CSRS,06
