PRINCIPAL AMOUNT ,COVERED BY ,SETTLEMENT ,APPRECIATION ,CIK,Reporting Type,Report Year
CONTRACT (USD) ,COUNTERPARTY ,DATE ,(DEPRECIATION) ,0000315554,N-Q,11
"$873,828 ",BANK ,9-28-2011 ,"($17,916) ",0000315554,N-Q,11
"12,198,957 ",BANK OF MONTREAL ,9-28-2011 ,"(72,926) ",0000315554,N-Q,11
"12,736,523 ",BANK OF MONTREAL ,9-28-2011 ,"(53,003) ",0000315554,N-Q,11
"3,650,189 ",BANK OF NOVA SCOTIA ,9-28-2011 ,"(49,846) ",0000315554,N-Q,11
