Counterparty,Referenced Entity,Buy/SellProtection,CurrentCreditSpread (7),NotionalAmount(U.S. Dollars),FixedRate,TerminationDate,Value(U.S. Dollars),UnrealizedAppreciation(Depreciation)(U.S. Dollars),CIK,Reporting Type,Report Year
JPMorgan,DJ Investment Grade CDX,Sell ,0.97,3000000,1,12/20/14,8000,"(23,074",0001390204,N-CSR,10
JPMorgan,DJ High Yield CDX,Sell ,5.23,1598000,5,6/20/14,"(3,622",383893,0001390204,N-CSR,10
