Counterparty (Issuer) ,Reference Entity ,Fixed Rate ,Date ,Amount(1) ,CIK,Reporting Type,Report Year
Barclays Bank PLC ,CMBX.NA.A.1 ,0.35% ,10/12/2052   $ ,500,0000012601,N-CSR,11
Morgan Stanley Capital ,CMBX.NA.A.1 ,0.35% ,10/12/2052      ,500,0000012601,N-CSR,11
