Counterparty(a),TerminationDate,NotionalAmount(000),FixedRate,Underlying Bond,UnrealizedAppreciation,CIK,Reporting Type,Report Year
"Morgan Stanley Capital Services, Inc.(a)",9/20/09,"2,000000",0.6,"EnCana Corp.,4.75%, due 10/15/2013","25,967",0000929523,N-CSR,05
"Morgan Stanley Capital Services, Inc.(a)",12/20/14,"1,500000",1.17,"Nextel Communications, Inc.,7.375%, due 8/1/2015","33,947",0000929523,N-CSR,05
"Morgan Stanley Capital Services, Inc.(a)",6/20/09,"1,000000",0.82,"Tyco International Ltd,6.00%, due 11/15/2013","22,280",0000929523,N-CSR,05
