Counterparty,Referenced Obligation,Protection (1),Fixed Rate,Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
Deutsche Bank,Republic of Peru 8.750% due 11/21/33,Sell,1.080%,05/20/17,"$7,320,000","($18,631",0000813900,N-CSR,07
Deutsche Bank,Ukraine Government Bond 7.650% due 06/11/13,Sell,2.060%,05/20/17,9500000,11347,0000813900,N-CSR,07
