Issuer / Index,ReceiveFixed Rate,ExpirationDate,"CreditRating1
",NotionalAmount(000)2,UnrealizedDepreciation,CIK,Reporting Type,Report Year
"Dow Jones CDX North America High Yield Index, Series 24, Version 2",5.0,6/20/20,B+,"4,717000","(114,071",0001051003,N-CSR,16
"Dow Jones CDX North America High Yield Index, Series 25, Version 1",5.0,12/20/20,B+,"15,000000","(17,036",0001051003,N-CSR,16
