Counterparty,ReferenceObligation,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalValue( ),CIK,Reporting Type,Report Year
Barclays Bank PLC,"CDX.EM* Series 25, 5-Year",1.00%,6/20/2021,1000000,0000052136,N-CSRS,16
"Citibank, N.A.",5-Year,1.00%,6/20/2021,3700000,0000052136,N-CSRS,16
