Counterparty,Reference Entity,Protection (1),Fixed Rate,Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
Morgan Stanley,Inco Ltd 7.750% due 05/15/12,Buy,(0.630%),03/20/17,"$520,000","$3,573",0000813900,N-Q,07
Morgan Stanley,Inco Ltd 7.750% due 05/15/12,Buy,(0.700%),03/20/17,515000,6319,0000813900,N-Q,07
Morgan Stanley,Vale Overseas Ltd 8.250% due 01/17/34,Sell,1.170%,03/20/17,515000,"(6,811",0000813900,N-Q,07
