Counterparty,Reference Entity/Obligation,Buy/Sell Protection,(Pay)/ Receive Fixed Rate (%),Termination Date,Notional Amount(2),Fair Value(3),Upfront Payments Paid/ (Received),Unrealized Appreciation/ (Depreciation),CIK,Reporting Type,Report Year
"Citigroup, Inc.",CDX.EM.22 Index,Buy,(1.000),12/20/19,"36,719,000  ","3,832,856","2,960,759","872,097",0001066602,N-Q,15
Deutsche Bank AG,CDX.EM.22 Index,Buy,(1.000),12/19/19,"4,909,000  ","512,418","395,826","116,592",0001066602,N-Q,15
