"
SWAP CONTERPARTY &REFERENCE OBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000'S)","
PAY/RECEIVEFIXED RATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)",CIK,Reporting Type,Report Year
"
JPMorgan Chase Bank, N.A.DJ CDX NA HVOL","
Sell","
6,670000",2.75,"
June 20, 2012","
124,389",0000311847,N-CSR,07
"
JPMorgan Chase Bank, N.A.Belo Corporation","
Buy","
1,200000",1.3,"
June 20, 2014","
(14,641",0000311847,N-CSR,07
"
JPMorgan Chase Bank, N.A.Belo Corporation","
Buy","
425000",1.18,"
June 20, 2014","
(2,327",0000311847,N-CSR,07
