"
SWAPCOUNTERPARTY & REFERENCEOBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)","
UPFRONTPAYMENTSPAID(RECEIVED)","
VALUE","
CREDITRATING OFREFERENCEOBLIGATION ",CIK,Reporting Type,Report Year
"
Barclays Bank PLC Quest Diagnostics, Inc.","
Buy","
395000",1.0,"
3/20/19","
(15,305","
7,581","
(7,724","
BBB+",0000882381,N-CSR,16
"
Deutsche Bank AGCMBX.NA.BB.60","
Sell","
749000",5.0,"
5/11/63","
(17,195","
5,106","
(12,089","
NR",0000882381,N-CSR,16
"
Goldman Sachs InternationalCMBX.NA.BB.60","
Sell","
586000",5.0,"
5/11/63","
(9,058","
(401","
(9,459","
NR",0000882381,N-CSR,16
"
Morgan Stanley & Co., LLC*CDX.NA.HY.24","
Buy","
4,529000",5.0,"
6/20/20","
64,100","
(350,883","
(286,783","
NR",0000882381,N-CSR,16
