Counterparty,Reference Entity/Obligation,Protection,"Fixed
  Rate (%)",Date,Amount (4),Value (5),Paid/(Received),Appreciation,CIK,Reporting Type,Report Year
Barclays Bank PLC,CDX.NA.IG.11 Index,Buy,(1.500),12/20/13,1000000,31634,29944,1690,0000877233,N-Q,09
"Citibank N.A.,
  New York",CDX.NA.IG.11 Index,Buy,(1.500),12/20/13,1000000,31633,30150,1483,0000877233,N-Q,09
