Counterparty,Reference Obligation,Fixed   Received /   Pay Rate (7),Expiration   Date,"Notional   Amount (1), (6)",CIK,Reporting Type,Report Year
CIT,"People s   Republic of China, 7.50%, 10/28/2027",1,06/20/2021,680,0000933691,N-CSR,16
CIT,"People s   Republic of China, 7.50%, 10/28/2027",1,06/20/2021,820,0000933691,N-CSR,16
CIT,"People s   Republic of China, 7.50%, 10/28/2027",1,06/20/2021,720,0000933691,N-CSR,16
CIT,"People s   Republic of China, 7.50%, 10/28/2027",1,06/20/2021,320,0000933691,N-CSR,16
DUB,"People s   Republic of China, 7.50%, 10/28/2027",1,06/20/2021,770,0000933691,N-CSR,16
DUB,"People s   Republic of China, 7.50%, 10/28/2027",1,06/20/2021,500,0000933691,N-CSR,16
JPM,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,230,0000933691,N-CSR,16
JPM,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,460,0000933691,N-CSR,16
JPM,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,30,0000933691,N-CSR,16
JPM,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,180,0000933691,N-CSR,16
JPM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,2230,0000933691,N-CSR,16
JPM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,360,0000933691,N-CSR,16
JPM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,100,0000933691,N-CSR,16
JPM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,1850,0000933691,N-CSR,16
JPM,"People s   Republic of China, 7.50%, 10/28/2027",1,06/20/2021,220,0000933691,N-CSR,16
BBP,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,270,0000933691,N-CSR,16
BBP,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,540,0000933691,N-CSR,16
BBP,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,170,0000933691,N-CSR,16
BBP,"People s   Republic of China, 7.50%, 10/28/2027",1,06/20/2021,330,0000933691,N-CSR,16
BOA,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,2170,0000933691,N-CSR,16
BOA,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,970,0000933691,N-CSR,16
BOA,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,550,0000933691,N-CSR,16
BOA,"People s   Republic of China, 7.50%, 10/28/2027",1,06/20/2021,1030,0000933691,N-CSR,16
CGM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,630,0000933691,N-CSR,16
CGM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,1770,0000933691,N-CSR,16
CGM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,950,0000933691,N-CSR,16
CGM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,3080,0000933691,N-CSR,16
CGM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,90,0000933691,N-CSR,16
CGM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,740,0000933691,N-CSR,16
CGM,"People s   Republic of China, 4.75%, 10/28/2027",1,12/20/2020,990,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,1320,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,130,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,850,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,1120,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,800,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,350,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,750,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,230,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,660,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,560,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,560,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,560,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,810,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,03/20/2019,420,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,1130,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,150,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,520,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,410,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,620,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,750,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,920,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,230,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,340,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,560,0000933691,N-CSR,16
CIT,"People s   Republic of China, 4.25%, 10/28/2014",1,06/20/2019,660,0000933691,N-CSR,16
