Reference Entity,Counterparty,Buy/Sell Credit Protection,Notional Amount(000 s),Receive Fixed Rate,Payment Termination Date,CIK,Reporting Type,Report Year
Republic of Hungary,HSBC Bank USA,Sell,7800,1.0,3/20/16,0000850134,N-CSRS,11
Republic of Hungary,"JPMorgan Chase
Bank NA, NY Branch",Sell,6225,1.0,3/20/16,0000850134,N-CSRS,11
Republic of Hungary,"Merrill Lynch Capital Services, Inc.",Sell,7800,1.0,3/20/16,0000850134,N-CSRS,11
Republic of Hungary,UBS AG,Sell,7810,1.0,3/20/16,0000850134,N-CSRS,11
Republic of Peru,Deutsche Bank AG,Buy,7680,1.71,12/20/16,0000850134,N-CSRS,11
Republic of the Philippines:,Barclays Bank plc,Buy,6390,1.76,12/20/14,0000850134,N-CSRS,11
Republic of the Philippines:,"JPMorgan Chase
Bank NA, London Branch",Buy,9590,1.74,12/20/14,0000850134,N-CSRS,11
SLM Corp.:,"Citibank NA, New York",Sell,14065,5.0,3/20/16,0000850134,N-CSRS,11
SLM Corp.:,UBS AG,Sell,3885,5.0,3/20/16,0000850134,N-CSRS,11
State of Qatar:,Barclays Bank plc,Buy,7335,1.0,3/20/16,0000850134,N-CSRS,11
State of Qatar:,HSBC Bank USA,Buy,14665,1.0,3/20/16,0000850134,N-CSRS,11
State of Qatar:,"JPMorgan Chase
Bank NA, NY Branch",Buy,7335,1.0,6/20/16,0000850134,N-CSRS,11
United Mexican States:,Goldman Sachs International,Sell,9365,1.0,6/20/16,0000850134,N-CSRS,11
United Mexican States:,HSBC Bank USA,Sell,7810,1.0,3/20/16,0000850134,N-CSRS,11
United Mexican States:,"Merrill Lynch Capital Services, Inc.",Sell,7810,1.0,3/20/16,0000850134,N-CSRS,11
Valero Energy Corp.,Credit Suisse International,Sell,18070,1.0,3/20/16,0000850134,N-CSRS,11
"Wal-Mart Stores, Inc.",Credit Suisse International,Buy,18070,1.0,3/20/16,0000850134,N-CSRS,11
