NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"1,750,000",10/12/52,Bank of America N.A.,Buy,(0.100,CMBX.NA.AAA.1,"(41,869","84,219","42,350",0000927972,N-CSR,11
"6,575,000",10/12/52,Bank of America N.A.,Buy,(0.500,CMBX.NA.AM.1,"(251,822","526,000","274,178",0000927972,N-CSR,11
"325,000",6/20/14,Barclays Bank PLC,Buy,(1.000,Centex Corp.,"(1,169","6,019","4,850",0000927972,N-CSR,11
"600,000",6/20/16,Barclays Bank PLC,Buy,(1.000,Kingdom of Spain,"1,118","35,571","36,689",0000927972,N-CSR,11
"600,000",6/20/16,Barclays Bank PLC,Buy,(1.000,Kingdom of Spain,"(1,399","38,088","36,689",0000927972,N-CSR,11
"600,000",6/20/16,Barclays Bank PLC,Buy,(1.000,Kingdom of Spain,"(4,965","41,653","36,688",0000927972,N-CSR,11
"469,483",7/25/45,Credit Suisse Securities LLC,Buy,(0.180,ABX.HE.AAA.06-1,"(6,059","48,124","42,065",0000927972,N-CSR,11
"1,500,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(113,700","150,000","36,300",0000927972,N-CSR,11
"5,100,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(369,705","493,125","123,420",0000927972,N-CSR,11
"1,075,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(43,860","69,875","26,015",0000927972,N-CSR,11
"2,000,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(46,600","95,000","48,400",0000927972,N-CSR,11
