"SWAP COUNTERPARTY AND
  REFERENCE OBLIGATION","BUY/SELL
  PROTECTION","NOTIONAL
  AMOUNT
  (000 S)","PAY/RECEIVE
  FIXED
  RATE","TERMINATION
  DATE","UNREALIZED
  APPRECIATION
  (DEPRECIATION)",CIK,Reporting Type,Report Year
Union Pacific Corp.,Buy,60,0.2,"December 20, 2011",683,0000924394,N-Q,08
"Hartford Life, Inc.",Buy,130,0.12,"December 20, 2011","5,687",0000924394,N-Q,08
"Motorola, Inc.",Buy,50,0.15,"December 20, 2011","4,643",0000924394,N-Q,08
"Motorola, Inc.",Buy,90,0.157,"December 20, 2011","8,336",0000924394,N-Q,08
"Tyco International, Ltd.",Buy,50,0.43,"March 20, 2012","1,498",0000924394,N-Q,08
"Tyco International, Ltd.",Buy,25,0.43,"March 20, 2012",747,0000924394,N-Q,08
Tyco Electronics,Buy,50,0.43,"March 20, 2012","1,527",0000924394,N-Q,08
Tyco Electronics,Buy,25,0.43,"March 20, 2012",765,0000924394,N-Q,08
Chubb Corp.,Buy,120,0.1,"March 20, 2012","2,174",0000924394,N-Q,08
Covidien,Buy,50,0.43,"March 20, 2012",,0000924394,N-Q,08
Covidien,Buy,25,0.43,"March 20, 2012",,0000924394,N-Q,08
"Dell, Inc.",Buy,60,0.22,"March 20, 2012","1,077",0000924394,N-Q,08
Eaton Corp.,Buy,40,0.62,"March 20, 2013",303,0000924394,N-Q,08
Eli Lilly Co.,Buy,65,0.3,"March 20, 2013",405,0000924394,N-Q,08
Eli Lilly Co.,Buy,20,0.33,"March 20, 2013",97,0000924394,N-Q,08
