"SWAP COUNTERPARTY ANDREFERENCE
				OBLIGATION",BUY/SELLPROTECTION,NOTIONALAMOUNT(000 S),PAY/RECEIVEFIXED RATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"Goldman Sachs InternationalDJ
				CDX NA HVOL",Buy,"$4,600000",0.75%,"December 20, 2011","$13,209",0000882381,N-CSR,07
"Goldman Sachs InternationalChubb
				Corp.",Buy,"1,150000",0.10,"March 20, 2012",581,0000882381,N-CSR,07
"Goldman Sachs InternationalDell
				Inc.",Buy,575000,0.22,"March 20, 2011",(221,0000882381,N-CSR,07
"Goldman Sachs InternationalGap
				Inc.",Buy,700000,1.19,"March 20, 2012","(7,524",0000882381,N-CSR,07
"Goldman Sachs
				InternationalHartford Life Inc.",Buy,"1,200000",0.12,"December 20, 2011",(793,0000882381,N-CSR,07
"Goldman Sachs
				InternationalMotorola, Inc.",Buy,390000,0.15,"December 20, 2011","3,087",0000882381,N-CSR,07
"Goldman Sachs
				InternationalMotorola, Inc.",Buy,800000,0.16,"December 20, 2011","6,100",0000882381,N-CSR,07
"Goldman Sachs
				InternationalSouthwest Airlines Co.",Buy,"1,000000",0.22,"December 20, 2011","6,206",0000882381,N-CSR,07
"Goldman Sachs InternationalTyco
				International",Buy,"2,060000",0.43,"March 20, 2012","12,321",0000882381,N-CSR,07
"Goldman Sachs InternationalUnion
				Pacific Corporation",Buy,600000,0.20,"December 20, 2011","2,777",0000882381,N-CSR,07
