COUNTERPARTY ,OBLIGATION ,SPREAD ,EXPOSURE ,RATE ,DATE ,(DEPRECIATION) ,VALUE ,CIK,Reporting Type,Report Year
Morgan Stanley ,Texas Competitive ,33.04% ,"$10,000,000 ",4.60% ,June 2013 ,"($3,389,242) ","($3,389,242) ",0000315554,N-CSR,12
Morgan Stanley ,Texas Competitive ,33.04% ,5000000,5.85% ,June 2013 ,"(1,605,617) ","(1,605,617) ",0000315554,N-CSR,12
