Expiration Date,Counterparty,Interest Rate Received (Paid),Reference Entity,Notional Value,UpfrontPremiumsPaid/(Received),Unrealized Appreciation/ (Depreciation),CIK,Reporting Type,Report Year
12/20/2017,Credit Suisse First Boston,(5.000% per annum),Markit CDX North America High Yield Index,"905,000","(1,131","(2,637",0000916622,N-CSR,13
12/20/2017,Credit Suisse First Boston,(5.000% per annum),Markit CDX North America High Yield Index,"1,680,000","(5,250","(1,746",0000916622,N-CSR,13
