Counterparty,TerminationDate,NotionalAmount(000),FixedRate,Underlying Bond,UnrealizedAppreciation,CIK,Reporting Type,Report Year
Barclays Bank PLC,3/20/2011,"1,000",0.82,CDS,"9,753",0000834126,N-Q,06
Morgan Stanley Capital Services,12/20/2009,830,0.6,"RPM International, Inc.",70,0000834126,N-Q,06
