"SWAP
  COUNTERPARTY &
  REFERENCE
  OBLIGATION","BUY/SELL
  PROTECTION","NOTIONAL
  AMOUNT
  (000 s)","INTEREST
  RATE","TERMINATION
  DATE","UNREALIZED
  DEPRECIATION","UPFRONT
  PAYMENTS",VALUE,"CREDIT
  RATING OF
  REFERENCE
  OBLIGATION+ (unaudited)",CIK,Reporting Type,Report Year
"Bank
  of America, N.A. 
  Carnival Corp.",Buy,115000,1.57,"March 20,
  2018","(3,199","(3,199",,BBB+,0000924394,N-Q,10
"Bank
  of America, N.A. 
  Tyco Electronics Ltd.",Buy,125000,5.0,"June 20,
  2014","(16,754","(5,251","(22,005",BBB-,0000924394,N-Q,10
