Counterparty,ReferenceObligation,Fixed DealReceivedRate,NotionalValue,MarketValue,UpfrontPremiums Paid,ExpirationDate,Change in NetUnrealizedAppreciation,CIK,Reporting Type,Report Year
Deutsche Bank AG,Credit Default Swap   North America High Yield 18,5.00%,"$4,950,000","$26,267","$9,281",June 2017,"$17,021",0000356476,N-Q,12
JPMorgan,Credit Default Swap   North America High Yield 18,5.00%,"$2,970,000","$15,760","$78,750",June 2017,"$87,169",0000356476,N-Q,12
