SWAP COUNTERPARTY & REFERENCE ENTITY,BUY/SELLPROTECTION,NOTIONALAMOUNT(000 s),INTERESTRATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION,UPFRONTPAYMENTS,VALUE,CREDITRATING OFREFERENCEOBLIGATION (unaudited),CIK,Reporting Type,Report Year
JPMorgan Chase CDX.NA. IG 19,Sell,1825000,1,12/20/2017,3207,1450,4657,NR,0000093284,N-Q,13
JPMorgan Chase Kohl s Corporate,Buy,1825000,1,12/20/2017,58101,63232,121333,BBB+,0000093284,N-Q,13
