Counterparty,Reference Entity/Obligation,Buy/Sell Protection,(Pay)/ Receive Fixed Rate (%),Termination Date,Notional Amount(2),Fair Value(3),Upfront Payments Paid/ (Received),Unrealized Appreciation/ (Depreciation),CIK,Reporting Type,Report Year
Deutsche Bank AG,CDX.NA.HY.16   Index,Sell,5.0,06/20/16,"1,440,000","104,647","2,081","102,566",0000837276,N-Q,13
Credit Suisse Group AG,CDX.NA.HY.18   Index,Sell,5.0,06/20/17,"4,950,000","253,578","(235,125)","488,703",0000837276,N-Q,13
