ReferenceEntity,Counterparty,Buy/SellProtection,(Pay)/ReceiveFixed Rate,Expiration Date,ImpliedCreditSpead,UpfrontPremiumPaid/(Received)(000 s),NotionalAmount (000 s),UnrealizedAppreciation/(Depreciation)(000 s),CIK,Reporting Type,Report Year
"Dow Jones CDX NA Emerging Markets Index, Series 17",Barclays Bank PLC,Sell,5.00%,6/17,2.846%,(202)000,"2,150000",nan000,0000742212,N-CSR,12
"Dow Jones CDX NA Emerging Markets Index, Series 17",BNP Paribas SA,Sell,5.00%,6/17,2.846%,(37)000,     300000,(8000,0000742212,N-CSR,12
