Counterparty (Issuer),Reference Entity,Fixed Rate,Expiration Date,CIK,Reporting Type,Report Year
Barclays Bank PLC,CDX.NA.HY.17,(5.00,12/20/2016,0000012601,N-CSRS,12
Barclays Bank PLC,CDX.NA.HY.18,(5.00,06/20/2017,0000012601,N-CSRS,12
Barclays Bank PLC,CMBX.NA.AAA.1,(0.10,10/12/2052,0000012601,N-CSRS,12
Barclays Bank PLC,CMBX.NA.AAA.4,(0.35,02/17/2051,0000012601,N-CSRS,12
