Counterparty,ReferenceEntity,ExpirationDate,PayFixedRate (%),NotionalAmount ($),MarketValue ($),UnamortizedPremium(Paid)Received ($),PeriodicPaymentsReceivable(Payable) ($),UnrealizedAppreciation($),UnrealizedDepreciation($),CIK,Reporting Type,Report Year
Goldman Sachs International,"Textron, Inc.","June 20, 2018",1.0,"12,910,000","152,639","(121,608","(3,228","27,804",,0001413032,N-CSRS,13
Barclays,"Toll Brothers, Inc.","June 20, 2018",1.0,"9,010,000","375,452","(290,649","(2,253","82,550",,0001413032,N-CSRS,13
Morgan Stanley,"Toll Brothers, Inc.","June 20, 2018",1.0,"28,140,000","1,172,610","(525,946","(7,035","639,629",,0001413032,N-CSRS,13
JPMorgan,"Barclays Bank, PLC","September 20, 2018",1.0,"2,545,000","75,961","(60,544",(636,"14,781",,0001413032,N-CSRS,13
Citibank,H.J. Heinz Company,"September 20, 2018",1.0,"5,885,000","214,075","(195,462","(1,471","17,142",,0001413032,N-CSRS,13
Goldman Sachs International,"Home Depot, Inc.","September 20, 2018",1.0,"6,655,000","(203,281","204,942","(1,664",(3,,0001413032,N-CSRS,13
Barclays,Morgan Stanley,"September 20, 2018",1.0,"6,240,000","220,628","(246,903","(1,560","(27,835",,0001413032,N-CSRS,13
Citibank,Morgan Stanley,"September 20, 2018",1.0,"9,355,000","330,765","(387,336","(2,339","(58,910",,0001413032,N-CSRS,13
Barclays,Telecom Italia SPA,"September 20, 2018",1.0,"2,605,000","294,290","(267,340",(651,"26,299",,0001413032,N-CSRS,13
