Swap counterparty/ ,Referenced debt* ,Rating*** ,Notional amount,Termination date,Payments received/paid by fund,CIK,Reporting Type,Report Year
Credit Suisse International,CMBX NA ,"$(11,498) ","$245,000 ",1/17/47 ,(300 bp) ,0001005942,N-CSRS,14
Credit Suisse International,CMBX NA ,"(14,352) ",245000,1/17/47 ,(300 bp) ,0001005942,N-CSRS,14
Goldman Sachs International  ,CMBX NA BB Index ,"(1,238) ",129000,5/11/63 ,(500 bp) ,0001005942,N-CSRS,14
