Counterparty (Issuer) ,Reference Entity ,Fixed Rate ,Date ,Amount ,CIK,Reporting Type,Report Year
Barclays Bank PLC ,CDX.EM.16 ,(5.00)% ,12/20/2016 $ ,"1,700 $ ",0000012601,N-CSR,12
Barclays Bank PLC ,CDX.NA.HY.16 ,(5.00)% ,06/20/2016 ,1715,0000012601,N-CSR,12
Barclays Bank PLC ,CDX.NA.HY.16 ,(5.00)% ,06/20/2016 ,1862,0000012601,N-CSR,12
Barclays Bank PLC ,CDX.NA.HY.16 ,(5.00)% ,06/20/2016 ,2058,0000012601,N-CSR,12
Barclays Bank PLC ,CDX.NA.HY.17 ,(5.00)% ,12/20/2016 ,5390,0000012601,N-CSR,12
Barclays Bank PLC ,CMBX.NA.AAA.1 ,(0.10)% ,10/12/2052 ,1250,0000012601,N-CSR,12
