Underlying Reference Entity,Counterparty,Amount,Date,CIK,Reporting Type,Report Year
USD Index,Barclays,21240,12/31/15,0000351601,N-CSR,16
USD Index,Barclays,50572,12/31/15,0000351601,N-CSR,16
USD Index,Barclays,75013,09/30/16,0000351601,N-CSR,16
