Counterparty,"Reference
    Entity/Obligation","Buy/Sell
    Protection","(Pay)/
    Receive Fixed Rate (%)","Termination
    Date",Notional Amount(2),"Fair
Value(3)","Upfront
    Payments Paid/ (Received)","Unrealized
    Appreciation/ (Depreciation)",CIK,Reporting Type,Report Year
Deutsche Bank AG,CDX.EM.19 Index,Buy,(5.000,06/20/18,"18,276,000","(1,738,030","(1,246,370","(491,660",0001066602,N-Q,14
Deutsche Bank AG,CDX.EM.19 Index,Buy,(5.000,06/20/18,"5,009,000","(476,351","(333,575","(142,776",0001066602,N-Q,14
HSBC,CDX.EM.19 Index,Buy,(5.000,06/20/18,"7,151,000","(680,053","(477,980","(202,073",0001066602,N-Q,14
