Reference Obligation,"
Fixed Deal(Pay) Rate","
TerminationDate",Counterparty,"
ImpliedCreditSpread atMarch 31,2015(2)","
NotionalAmount(3)","
Value atMarch 31,2015(4)","
UpfrontPremiumsPaid(Received)","
UnrealizedAppreciation(Depreciation)",CIK,Reporting Type,Report Year
"
Markit CDX Emerging Markets Index",(1.000,12/20/2019,Goldman Sachs Corp.,3.9248,"7,899,500","953,256","948,239","5,017",0001003239,N-CSR,15
"
Russian Federation 7.50% due 03/31/2030",(1.000,12/20/2019,Goldman Sachs Corp.,4.0696,"355,000","44,931","72,805","(27,874",0001003239,N-CSR,15
