Counterparty,Reference   Entity/Obligation,Buy/Sell   Protection,(Pay)/   Receive   Fixed   Rate (%),Termination   Date,Implied   Credit   Spread at   12/31/12   (%) (5),Notional   Amount(2),Fair   Value(3),Upfront   Payments   Paid/   (Received),Unrealized   Appreciation/   (Depreciation),CIK,Reporting Type,Report Year
"Citigroup, Inc.","MBIA Global Funding, LLC",Sell,5.0,09/20/13,76.806,"1,311,000"," (441,065)"," (77,207)"," (363,858)",0001066602,N-Q,13
"Citigroup, Inc.","MBIA Global Funding, LLC",Sell,5.0,09/20/13,76.806,"641,000","(215,654)","(34,604)","(181,050)",0001066602,N-Q,13
