Issuer / Index,ReceiveFixedRate,ExpirationDate,CreditRating1,NotionalAmount(000)2,UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
Chesapeake Energy Corp.,5.0,12/20/21,CCC,620000,"(7,054",0001051003,N-CSR,17
"Markit CDX North America High Yield Index, Series 27, Version 2",5.0,12/20/21,B+,"21,174000","352,240",0001051003,N-CSR,17
