Counterparty,"Notional
  amount","Termination
  date","Payments
  made by the
  Fund",CIK,Reporting Type,Report Year
"Deutsche
  Bank AG",9680000,12/20/12,0.6,0000886244,N-Q,10
"Deutsche
  Bank AG",24000000,06/20/13,3.25,0000886244,N-Q,10
"Deutsche
  Bank AG",33000000,06/20/13,3.25,0000886244,N-Q,10
"Deutsche
  Bank AG",7000000,06/20/14,5.0,0000886244,N-Q,10
"Goldman
  Sachs International",4960000,12/20/13,1.5,0000886244,N-Q,10
"Goldman
  Sachs International",5000000,06/20/14,5.0,0000886244,N-Q,10
"Goldman
  Sachs International",8460000,06/20/14,5.0,0000886244,N-Q,10
"Merrill
  Lynch International",24000000,06/20/13,3.25,0000886244,N-Q,10
"Merrill
  Lynch International",26200000,06/20/13,3.25,0000886244,N-Q,10
