COUNTERPARTY ,REFERENCE  OBLIGATION ,CREDIT SPREAD ,PURCHASED ,FIXED RATE,TERMINATION DATE ,CIK,Reporting Type,Report Year
Financing Inc. ,AMR Corp. ,25.25% ,"$2,000,000 ",5.00% ,Mar 2013 ,0000315554,N-Q,11
Services Inc. ,Company LLC ,29.73% ,10000000,4.60% ,Jun 2013 ,0000315554,N-Q,11
Services Inc. ,Company LLC ,29.73% ,5000000,5.85% ,Jun 2013 ,0000315554,N-Q,11
