Counterparty,Date,Receive,Deliver,Notional Amount($000),CIK,Reporting Type,Report Year
Goldman Sachs International,9/6/16,77166,JPY,8200000000,0000105563,N-Q,16
Goldman Sachs International,11/28/16,76900,JPY,7700000000,0000105563,N-Q,16
