Counterparty,Reference Obligation,Protection,Rate (%),Date,Amount (4),Value (5),(Received),(Depreciation),CIK,Reporting Type,Report Year
Deutsche Bank AG,Lennar Corp.,Buy,(0.660),12/20/11,5000000,13329,13329,,0000837276,N-Q,11
Morgan Stanley,Sealed Air Corp.,Buy,(0.580),09/20/13,2200000,4959,4959,,0000837276,N-Q,11
