Counterparty,amount,dates,CIK,Reporting Type,Report Year
Goldman Sachs International,"USD 5,000,000",09/20/17,0000944684,N-CSR,10
Goldman Sachs International,"USD 1,375,000",09/20/14,0000944684,N-CSR,10
Goldman Sachs International,"USD 4,350,000",12/20/14,0000944684,N-CSR,10
Merrill Lynch International,"USD 2,000,000",06/20/15,0000944684,N-CSR,10
