Counterparty,Swap Referenced Obligation,Value,Payments,Date,(Depreciation),CIK,Reporting Type,Report Year
GSC,CDX.NA.HY.20,3500000,5.00%,6/20/18,"(8,312",0000769220,N-CSR,13
ICE,CDX.NA.HY.20,2000000,5.00%,6/20/18,"(80,720",0000769220,N-CSR,13
MSC,CDX.NA.HY.20,6250000,5.00%,6/20/18,"(15,122",0000769220,N-CSR,13
