Swap Counterparty and Reference Obligation,Protection,Amount(000),Fixed Rate,Date,CIK,Reporting Type,Report Year
"Dow Jones CDX North America High Yield Index,
  Series 9",Sell,"$   2,790000",3.75,12/20/12,0000912734,N-CSR,08
Qwest Capital Funding,Sell,210000,3.25,12/20/12,0000912734,N-CSR,08
