Description,Counterparty,Upfront PremiumReceived (Paid),FixedRate,Expiration Date,NotionalAmount,UnrealizedAppreciation,UnrealizedDepreciation,CIK,Reporting Type,Report Year
CMBX NA AAA.6,Credit Suisse International,"(2,179",0.5,5/11/2063,"100,000",836,   ,0000851680,N-Q,15
CMBX NA AAA.6,Credit Suisse International,"(63,358",0.5,5/11/2063,"3,200,000","20,836",   ,0000851680,N-Q,15
