Reference Entity,Counterparty,Buy/Sell Credit Protection,Notional Amount(000 s),Receive Fixed Rate,Payment Termination Date,CIK,Reporting Type,Report Year
"Alcoa, Inc.",Goldman Sachs International,Buy,16760,1,3/20/17,0000850134,N-CSRS,12
Barrick Gold Corp.,Barclays Bank plc,Buy,17320,1,3/20/17,0000850134,N-CSRS,12
Brazil (Federative Republic of),Deutsche Bank AG,Sell,14190,1,6/20/17,0000850134,N-CSRS,12
Carnival Corp.,Credit Suisse International,Buy,17320,1,3/20/17,0000850134,N-CSRS,12
"CDX Emerging Market Index, Series 17",Deutsche Bank AG,Buy,21650,5,6/20/17,0000850134,N-CSRS,12
