Description,Counterparty,Received (Paid),Fixed Rate,Expiration Date,Amount,Appreciation,Unnamed: 7,CIK,Reporting Type,Report Year
CMBX NA AAA.6,Credit Suisse International,5720,0.5,5/11/2063,155000,3348,   ,0000851680,N-Q,16
CMBX NA AAA.6,Morgan Stanley & Co.International PLC,64963,0.5,5/11/2063,1983000,34026,   ,0000851680,N-Q,16
CMBX NA AAA.6,Morgan Stanley & Co.International PLC,5243,0.5,5/11/2063,155000,2821,   ,0000851680,N-Q,16
CMBX NA AAA.6,Morgan Stanley & Co.International PLC,4065,0.5,5/11/2063,120000,2237,   ,0000851680,N-Q,16
CMBX.NA.AAA.6,Deutsche Bank AG,4912,0.5,5/11/2063,145000,2704,   ,0000851680,N-Q,16
