"
Counterparty
","
Referenced Entity
","
Protection (10
","
Spread (11
","
Amount
","
(Annualized
","
Date
",CIK,Reporting Type,Report Year
"
Goldman Sachs
","
Commonwealth of Puerto Rico
","
Buy
",23.25,"
2,000,000
",5.0,"
9/20/19
",0000872064,N-CSR,15
"
Goldman Sachs
","
Commonwealth of Puerto Rico
","
Buy
",24.25,"
1,500,000
",5.0,"
12/20/19
",0000872064,N-CSR,15
