"
Counterparty","
Reference Entity","
Buy/SellProtection","
ReceiveFixed Rate","
ExpirationDate","
NotionalAmount","
UnrealizedAppreciation",CIK,Reporting Type,Report Year
"
Bear Stearns","
D.R. Horton, Inc.5.38%, 6/15/12","
Sell",4.75,"
12/20/08",400,"
(a)",0000802716,N-CSR,09
"
Bear Stearns","
Pulte Homes, Inc.5.25%, 1/15/14","
Sell",4.7,"
12/20/08",200,"
2",0000802716,N-CSR,09
"
Bear Stearns","
Pulte Homes, Inc.5.25%, 1/15/14","
Sell",5.0,"
12/20/08",200,"
1",0000802716,N-CSR,09
