SWAPCOUNTERPARTY& REFERENCEOBLIGATION,BUY/SELLPROTECTION,NOTIONALAMOUNT(000),INTERESTRATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"Barclays Bank PLCYum! Brands, Inc.",Buy,$875000,1,12/20/18,"$(5,496)",0000093284,N-CSRS,14
"Barclays Bank PLC Quest Diagnostics, Inc.",Buy,795000,1,3/20/19,"(12,151)",0000093284,N-CSRS,14
JPMorgan Chase Bank NA CDX.NA.IG.20,Sell,1750000,1,6/20/18,24606,0000093284,N-CSRS,14
JPMorgan Chase Bank NA CDX.NA.IG.20,Sell,360000,1,6/20/18,2828,0000093284,N-CSRS,14
"Morgan Stanley & Co., LLC* CDX.NA.HY.21",Buy,3975000,5,12/20/18,8661,0000093284,N-CSRS,14
"Morgan Stanley & Co., LLC* CDX.NA.IG.21",Sell,875000,1,12/20/18,3487,0000093284,N-CSRS,14
