Underlying Instrument,Counterparty,Amount($),Rate(%),Date,CIK,Reporting Type,Report Year
"Emerging Markets CDX Indices, Series 15",Barclays Bank PLC,12760,5,12/20/15,0000883939,N-Q,11
"Emerging Markets CDX Indices, Series 15",Credit Suisse First Boston,12760,5,12/20/15,0000883939,N-Q,11
"Emerging Markets CDX Indices, Series 15",Morgan Stanley,12760,5,12/20/15,0000883939,N-Q,11
