"Underlying
Instrument",Counterparty,Amount($),Rate(%),Date,CIK,Reporting Type,Report Year
"Emerging Markets CDX
Indices, Series 14",Barclays Bank PLC,3993,5,12/20/15,0000883939,N-Q,11
"Emerging Markets CDX
Indices, Series 14",Morgan Stanley,6599,5,12/20/15,0000883939,N-Q,11
"Emerging Markets CDX
indices, Series 14",JPMorgan,1161,5,12/20/15,0000883939,N-Q,11
"Federative Republic of
Brazil",Morgan Stanley,10325,1,12/20/15,0000883939,N-Q,11
