Counterparty,Notional amount,dates,Fixed rate,(depreciation),CIK,Reporting Type,Report Year
"Credit Suisse
 International",1550000,03/20/11,1.0,"(13,177",0000880943,N-Q,10
"Credit Suisse
 International",2150000,03/20/11,5.0,"(131,372",0000880943,N-Q,10
"Credit Suisse
 International",4000000,05/20/12,3.3,56300,0000880943,N-Q,10
"JPMorgan Chase
 Bank",10000000,03/20/15,1.0,145283,0000880943,N-Q,10
