Counterparty,ExpirationDate,NotionalAmount,Swap Details,UnrealizedAppreciation/(Depreciation),ImpliedCreditSpread*,CIK,Reporting Type,Report Year
Credit Suisse International,6/20/2015,"9,885,000",Reveive: Chesapeake Energy(T)Pay: Fixed rate equal to 5.00%,"(73,179",3.95%,0000887210,N-CSRS,15
Goldman Sachs,3/20/2020,"15,935,000","Receive: Transocean, Inc.(T)Pay: Fixed rate equal to 5.00%","(544,130",7.00%,0000887210,N-CSRS,15
