"
Fund","
Counterparty","
Rate","
Trade Date","
MaturityDate","
NetClosingAmount","
Par",CIK,Reporting Type,Report Year
"
U.S. Government Fund","
Morgan Stanley",4.45,"
5/25/2007","
6/1/2007","
30,425,335","
30,421,575",0000911507,N-CSR,07
"
U.S. Government Fund","
Morgan Stanley",4.9,"
4/18/2007","
6/1/2007","
37,577,614","
37,572,500",0000911507,N-CSR,07
