Counterparty,ReferenceObligation,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalValue( ),CIK,Reporting Type,Report Year
"Bank of America, N.A.","iTraxx Europe Crossover Series 18, 5-Year",(5.00%),12/20/2017,3797500,0000052136,N-CSRS,14
"Bank of America, N.A.",Republic of Brazil,(1.00%),6/20/2019,24550000,0000052136,N-CSRS,14
JPMorgan Chase Bank N.A.,"General Mills, Inc.",(1.00%),9/20/2019,12500000,0000052136,N-CSRS,14
JPMorgan Chase Bank N.A.,Kellogg Co.,(1.00%),9/20/2019,12300000,0000052136,N-CSRS,14
JPMorgan Chase Bank N.A.,"Safeway, Inc.",(1.00%),9/20/2019,11175000,0000052136,N-CSRS,14
