ReferenceObligation,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalValue( ),CIK,Reporting Type,Report Year
"CDX.NA.HY** Series 22, 5-Year",(5.00%),6/20/2019,3100000,0000052136,N-CSRS,14
"CDX.NA.HY** Series 22, 5-Year",(5.00%),6/20/2019,37224000,0000052136,N-CSRS,14
